app_name,rating,rank,bigram,count
Microsoft%20PowerPoint,2.0,10,like power,200
Microsoft%20PowerPoint,3.0,1,power point,600
Microsoft%20PowerPoint,3.0,2,good presentations,500
Microsoft%20PowerPoint,3.0,3,good presentation,400
Microsoft%20PowerPoint,3.0,4,features like,300
Microsoft%20PowerPoint,3.0,5,speech feature,200
Microsoft%20PowerPoint,3.0,6,subscription based,200
Microsoft%20PowerPoint,3.0,7,able add,200
Microsoft%20PowerPoint,3.0,8,keeps shutting,200
Microsoft%20PowerPoint,3.0,9,good need,200
Microsoft%20PowerPoint,3.0,10,need pay,200
Microsoft%20PowerPoint,4.0,1,power point,1600
Microsoft%20PowerPoint,4.0,2,good presentation,900
Microsoft%20PowerPoint,4.0,3,good experience,800
Microsoft%20PowerPoint,4.0,4,good easy,600
Microsoft%20PowerPoint,4.0,5,good sometimes,500
Microsoft%20PowerPoint,4.0,6,easy work,500
Microsoft%20PowerPoint,4.0,7,nice easy,500
Microsoft%20PowerPoint,4.0,8,good work,400
Microsoft%20PowerPoint,4.0,9,morph transition,400
Microsoft%20PowerPoint,4.0,10,helps alot,300
Microsoft%20PowerPoint,5.0,1,power point,7500
Microsoft%20PowerPoint,5.0,2,good presentation,2400
Microsoft%20PowerPoint,5.0,3,best presentation,2300
Microsoft%20PowerPoint,5.0,4,good work,2200
Microsoft%20PowerPoint,5.0,5,good experience,1800
Microsoft%20PowerPoint,5.0,6,best ever,1500
Microsoft%20PowerPoint,5.0,7,easy work,1500
Microsoft%20PowerPoint,5.0,8,good easy,1400
Microsoft%20PowerPoint,5.0,9,good school,1200
Microsoft%20PowerPoint,5.0,10,nice helpful,1100
Microsoft%20Word,,1,tienes que,300
Microsoft%20Word,,2,fetching files,200
Microsoft%20Word,,3,que ser,100
Microsoft%20Word,,4,sucks never,100
Microsoft%20Word,,5,awaken suggest,100
Microsoft%20Word,,6,de incompetencia,100
Microsoft%20Word,,7,bugs refuses,100
Microsoft%20Word,,8,clara que,100
